training,freq,class
وزل,15,drama
حذي,20,drama
جون,173,drama
قدس,12,drama
حمس,13,drama
سحق,38,drama
عبقر,12,drama
قصر,17,drama
عنه,65,drama
اباجنيل,23,drama
روب,22,drama
عول,144,drama
غلب,28,drama
فضي,45,drama
ريي,31,drama
قصص,57,drama
ومأ,53,drama
علب,17,drama
صوح,27,drama
قرأ,67,drama
بوس,146,drama
وجع,20,drama
حبن,26,drama
فوت,20,drama
مكث,17,drama
غودو,22,drama
حاسوب,43,drama
سطع,34,drama
لكأ,18,drama
حطم,45,drama
موه,82,drama
صنع,72,drama
رمي,27,drama
لحق,75,drama
سيطر,21,drama
نطق,21,drama
بسأ,25,drama
ليل,165,drama
عرف,916,drama
جوب,62,drama
زمن,35,drama
لوس,147,drama
شكي,27,drama
قلق,92,drama
غادر,29,drama
برنامج,19,drama
عوض,20,drama
تضاريس,18,drama
ترس,37,drama
شرق,45,drama
صعب,57,drama
طبب,40,drama
عمم,32,drama
برايور,30,drama
حكي,32,drama
فسر,16,drama
فصل,65,drama
ولد,69,drama
عمي,22,drama
يقظ,33,drama
نظم,70,drama
طوف,21,drama
ولف,17,drama
هذي,27,drama
حاء,15,drama
بتر,36,drama
وضح,55,drama
رضي,34,drama
خطط,83,drama
باورز,42,drama
ف,16,drama
لوف,15,drama
خطر,52,drama
صول,68,drama
دوك,24,drama
وسل,21,drama
حول,524,drama
بلي,88,drama
في,32,drama
صفح,29,drama
حدأ,53,drama
كمل,61,drama
هوي,48,drama
قدم,282,drama
خشب,14,drama
طوع,125,drama
رفع,116,drama
كحل,14,drama
درب,37,drama
ثور,63,drama
ما,34,drama
طول,151,drama
قتل,128,drama
فتأ,160,drama
دوأ,92,drama
غبي,35,drama
حدد,113,drama
موت,101,drama
وني,49,drama
عصب,20,drama
دور,122,drama
دول,54,drama
أسف,190,drama
ضغط,20,drama
أبن,85,drama
ظهر,105,drama
شفر,28,drama
دلل,22,drama
مهي,30,drama
نول,98,drama
بدل,79,drama
حمق,37,drama
لغز,19,drama
اصبح,36,drama
عثر,28,drama
بخر,226,drama
كوس,36,drama
أرض,52,drama
ضرب,68,drama
جهي,54,drama
شجر,14,drama
برع,17,drama
أزل,27,drama
فهم,185,drama
فرق,125,drama
قرب,181,drama
حرك,132,drama
بضع,33,drama
سمر,44,drama
ساتصل,17,drama
صفق,19,drama
وسم,18,drama
خرأ,29,drama
جميع,156,drama
علق,73,drama
نشر,28,drama
حوم,17,drama
لزج,13,drama
صور,70,drama
هتف,33,drama
ر,33,drama
ثري,12,drama
مكن,287,drama
مور,123,drama
بحث,98,drama
عوم,142,drama
تيس,17,drama
فحص,13,drama
خدر,20,drama
شرب,68,drama
حوس,835,drama
كرم,16,drama
نقل,84,drama
فلس,19,drama
سبب,200,drama
ميلاد,21,drama
سكن,27,drama
هندس,23,drama
طعم,54,drama
منا,86,drama
غوط,14,drama
ثلج,14,drama
درأ,39,drama
حسب,75,drama
خوص,41,drama
ويل,102,drama
حمل,117,drama
أجب,15,drama
زرع,35,drama
قوس,39,drama
كسر,25,drama
نرد,21,drama
أتم,63,drama
يمن,12,drama
عرض,125,drama
جئت,20,drama
هرأ,28,drama
مشي,19,drama
خدع,15,drama
ثقب,41,drama
نوع,80,drama
نكس,22,drama
بلغ,44,drama
لبد,56,drama
حلم,39,drama
شوي,12,drama
كل,21,drama
صدم,16,drama
فني,16,drama
غصب,14,drama
وقت,108,drama
قسم,43,drama
ذكر,212,drama
جيردا,42,drama
طلل,25,drama
سيب,14,drama
دفأ,15,drama
كشف,49,drama
ز,25,drama
رسم,61,drama
خلل,24,drama
نسب,163,drama
ردن,47,drama
حين,75,drama
جحم,49,drama
طلق,122,drama
وصل,108,drama
دوس,54,drama
لوق,21,drama
خول,55,drama
أمل,46,drama
امريكي,25,drama
غرد,30,drama
ربأ,27,drama
ندا,150,drama
درس,140,drama
خمن,13,drama
أرك,59,drama
عني,293,drama
هنأ,31,drama
نقم,32,drama
جود,365,drama
وتر,75,drama
فكر,196,drama
تانر,20,drama
روي,153,drama
مرض,15,drama
ضرر,24,drama
كتب,209,drama
ليي,13,drama
كلأ,44,drama
ورل,22,drama
تلفاز,22,drama
رخا,14,drama
وفر,17,drama
برح,30,drama
فقأ,97,drama
جمع,160,drama
توب,61,drama
فاينر,14,drama
وحد,101,drama
وضع,200,drama
شري,87,drama
سعد,320,drama
غلق,44,drama
تجر,30,drama
جهز,140,drama
حمم,14,drama
غور,55,drama
بوت,47,drama
حذر,33,drama
منع,56,drama
رده,19,drama
عزز,102,drama
كونورز,13,drama
دله,15,drama
هانز,14,drama
وخي,39,drama
رقب,48,drama
لعن,27,drama
رغم,45,drama
عقد,358,drama
نحب,14,drama
رول,25,drama
أكد,133,drama
خون,24,drama
تشاندلر,17,drama
د,49,drama
لا,91,drama
حواسيب,14,drama
وفي,29,drama
بشر,100,drama
بكأ,30,drama
سهل,36,drama
عدا,195,drama
وهب,20,drama
فرد,30,drama
لزم,24,drama
طوب,32,drama
هذه,24,drama
جني,55,drama
رأس,18,drama
دونوفان,37,drama
رني,38,drama
لطف,55,drama
حدث,428,drama
حزن,20,drama
نسخ,16,drama
اتساءل,13,drama
خرط,14,drama
وجد,183,drama
درك,43,drama
مزح,39,drama
فسد,26,drama
بعض,47,drama
روض,43,drama
شقي,21,drama
جزأ,53,drama
قنبل,19,drama
وقع,163,drama
نحتاج,18,drama
تربورو,19,drama
بسط,45,drama
نقط,32,drama
برا,55,drama
قبض,25,drama
جاء,18,drama
نيأ,34,drama
دلي,16,drama
حلك,65,drama
جزل,24,drama
فظع,25,drama
رودولف,20,drama
هند,18,drama
شيأ,923,drama
قفز,23,drama
جمل,147,drama
بذل,15,drama
كلب,14,drama
كثر,178,drama
شرط,58,drama
موج,79,drama
حوت,53,drama
شخص,264,drama
ندر,14,drama
لقي,97,drama
قلم,13,drama
جسر,15,drama
ترك,122,drama
نغم,14,drama
ركب,90,drama
ترجم,45,drama
لحم,29,drama
نفع,14,drama
ضيق,39,drama
غني,64,drama
غدي,16,drama
غرق,24,drama
رجل,444,drama
نوب,25,drama
عقل,58,drama
شبه,57,drama
أرخ,31,drama
عمق,13,drama
فيلم,18,drama
ميد,25,drama
سري,112,drama
سفر,56,drama
طرق,228,drama
نزل,269,drama
قبل,229,drama
م,254,drama
طبخ,25,drama
لوز,98,drama
كني,190,drama
رين,51,drama
سقط,43,drama
صحف,36,drama
سوح,17,drama
هدد,17,drama
نوه,13,drama
خشي,20,drama
أمم,21,drama
نفس,119,drama
ضجع,13,drama
وسط,33,drama
كاكتوس,29,drama
زنج,94,drama
مون,67,drama
سرح,59,drama
عبد,34,drama
قنع,14,drama
سود,648,drama
جوف,25,drama
تستطيع,14,drama
نورثوب,13,drama
وشك,31,drama
رأي,140,drama
علج,13,drama
هرب,38,drama
بي,156,drama
أصل,19,drama
فتح,110,drama
شرك,109,drama
خلق,18,drama
بطل,22,drama
